timestamp,time_s,effective_time_s,sample_index,wl_1_nm,wl_2_nm,wl_1_filtered_nm,wl_1_delta_nm,wl_1_strain,wl_1_derivative_nm_per_s,wl_2_filtered_nm,wl_2_delta_nm,wl_2_strain,wl_2_derivative_nm_per_s
2025-08-27T09:26:43Z,5890.0,5890.0,0,1538.39626,,1538.39626,0.00013999999987390765,1.166716276725416e-07,0.0,,,,0.0
2025-08-27T09:26:44Z,5890.0,5890.1,1,1538.39622,,1538.39626,0.00013999999987390765,1.166716276725416e-07,-1.0842021724855044e-19,,,,1.1102230246251565e-16
2025-08-27T09:26:44Z,5890.0,5890.2,2,1538.39626,,1538.39626,0.00013999999987390765,1.166716276725416e-07,1.0842021724855044e-19,,,,-1.1102230246251565e-16
2025-08-27T09:26:44Z,5890.0,5890.3,3,1538.39627,,1538.39626,0.00013999999987390765,1.166716276725416e-07,-1.0842021724855044e-19,,,,1.1102230246251565e-16
2025-08-27T09:26:44Z,5890.0,5890.4,4,1538.3962,,1538.39626,0.00013999999987390765,1.166716276725416e-07,-0.00014999999962005855,,,,-1.1102230246251565e-16
2025-08-27T09:26:44Z,5890.0,5890.5,5,1538.39628,,1538.39623,0.00010999999994965037,9.167056464045828e-08,-0.0002499999993679012,,,,0.0
2025-08-27T09:26:44Z,5890.0,5890.6,6,1538.39621,,1538.39621,9.000000000014552e-05,7.500318928573607e-08,-4.999999987244331e-05,,,,1.1102230246251565e-16
2025-08-27T09:26:44Z,5890.0,5890.7,7,1538.39623,,1538.39622,9.999999997489795e-05,8.333687696309717e-08,9.094829923894654e-16,,,,-1.1102230246251565e-16
2025-08-27T09:26:44Z,5890.0,5890.8,8,1538.39621,,1538.39621,9.000000000014552e-05,7.500318928573607e-08,-4.9999999873352795e-05,,,,1.1102230246251565e-16
2025-08-27T09:26:44Z,5890.0,5890.9,9,1538.39622,,1538.39621,9.000000000014552e-05,7.500318928573607e-08,-0.00010000000088357408,,,,-1.1102230246251565e-16
2025-08-27T09:26:44Z,5891.0,5891.0,10,1538.39618,,1538.39619,6.999999982326699e-05,5.833581374152774e-08,-0.00010000000088402884,,,,0.0
2025-08-27T09:26:45Z,5891.0,5891.1,11,1538.39619,,1538.39619,6.999999982326699e-05,5.833581374152774e-08,-4.9999999874262386e-05,,,,1.1102230246251565e-16
2025-08-27T09:26:45Z,5891.0,5891.2,12,1538.39619,,1538.39618,5.999999984851456e-05,5.000212606416664e-08,-4.999999987426233e-05,,,,-1.1102230246251565e-16
2025-08-27T09:26:45Z,5891.0,5891.3,13,1538.39618,,1538.39618,5.999999984851456e-05,5.000212606416664e-08,0.0,,,,1.1102230246251565e-16
2025-08-27T09:26:45Z,5891.0,5891.4,14,1538.39615,,1538.39618,5.999999984851456e-05,5.000212606416664e-08,-4.99999998733529e-05,,,,-1.1102230246251565e-16
2025-08-27T09:26:45Z,5891.0,5891.5,15,1538.39615,,1538.39617,4.9999999873762135e-05,4.166843838680553e-08,-0.0001499999996207407,,,,0.0
2025-08-27T09:26:45Z,5891.0,5891.6,16,1538.39618,,1538.39615,2.999999992425728e-05,2.500106303208332e-08,1.8189659847789308e-15,,,,1.1102230246251565e-16
2025-08-27T09:26:45Z,5891.0,5891.7,17,1538.39617,,1538.39617,4.9999999873762135e-05,4.166843838680553e-08,9.999999974852469e-05,,,,-1.1102230246251565e-16
