timestamp,time_s,effective_time_s,sample_index,wl_1_nm,wl_2_nm,wl_3_nm,wl_4_nm,wl_5_nm,wl_6_nm,wl_7_nm,wl_8_nm,wl_9_nm,wl_10_nm,wl_11_nm,wl_12_nm,wl_13_nm,wl_14_nm,wl_15_nm,wl_16_nm,wl_17_nm,wl_18_nm,wl_19_nm,wl_20_nm,wl_1_filtered_nm,wl_1_delta_nm,wl_1_strain,wl_1_derivative_nm_per_s,wl_2_filtered_nm,wl_2_delta_nm,wl_2_strain,wl_2_derivative_nm_per_s,wl_3_filtered_nm,wl_3_delta_nm,wl_3_strain,wl_3_derivative_nm_per_s,wl_4_filtered_nm,wl_4_delta_nm,wl_4_strain,wl_4_derivative_nm_per_s,wl_5_filtered_nm,wl_5_delta_nm,wl_5_strain,wl_5_derivative_nm_per_s,wl_6_filtered_nm,wl_6_delta_nm,wl_6_strain,wl_6_derivative_nm_per_s,wl_7_filtered_nm,wl_7_delta_nm,wl_7_strain,wl_7_derivative_nm_per_s,wl_8_filtered_nm,wl_8_delta_nm,wl_8_strain,wl_8_derivative_nm_per_s,wl_9_filtered_nm,wl_9_delta_nm,wl_9_strain,wl_9_derivative_nm_per_s,wl_10_filtered_nm,wl_10_delta_nm,wl_10_strain,wl_10_derivative_nm_per_s,wl_11_filtered_nm,wl_11_delta_nm,wl_11_strain,wl_11_derivative_nm_per_s,wl_12_filtered_nm,wl_12_delta_nm,wl_12_strain,wl_12_derivative_nm_per_s,wl_13_filtered_nm,wl_13_delta_nm,wl_13_strain,wl_13_derivative_nm_per_s,wl_14_filtered_nm,wl_14_delta_nm,wl_14_strain,wl_14_derivative_nm_per_s,wl_15_filtered_nm,wl_15_delta_nm,wl_15_strain,wl_15_derivative_nm_per_s,wl_16_filtered_nm,wl_16_delta_nm,wl_16_strain,wl_16_derivative_nm_per_s,wl_17_filtered_nm,wl_17_delta_nm,wl_17_strain,wl_17_derivative_nm_per_s,wl_18_filtered_nm,wl_18_delta_nm,wl_18_strain,wl_18_derivative_nm_per_s,wl_19_filtered_nm,wl_19_delta_nm,wl_19_strain,wl_19_derivative_nm_per_s,wl_20_filtered_nm,wl_20_delta_nm,wl_20_strain,wl_20_derivative_nm_per_s
2025-09-08T08:05:13Z,890.0,890.6,10,1554.76329,,,,,,,,,,,,,,,,,,,,1554.76322,9.999999974752427e-06,8.24595842356222e-09,0.0001499999996212523,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
2025-09-08T08:05:13Z,890.0,890.7,11,1554.76322,,,,,,,,,,,,,,,,,,,,1554.76325,3.999999989900971e-05,3.298383369424888e-08,-3.4106289840962756e-16,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,7.105427357601002e-15,,,,0.0,,,,0.0
2025-09-08T08:05:13Z,890.0,890.8,12,1554.76321,,,,,,,,,,,,,,,,,,,,1554.76322,9.999999974752427e-06,8.24595842356222e-09,-0.0001499999996215081,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,-7.105427357601002e-15,,,,0.0,,,,0.0
2025-09-08T08:05:13Z,890.0,890.9,13,1554.76325,,,,,,,,,,,,,,,,,,,,1554.76322,9.999999974752427e-06,8.24595842356222e-09,-4.9999999873750765e-05,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
2025-09-08T08:05:13Z,891.0,891.0,14,1554.76321,,,,,,,,,,,,,,,,,,,,1554.76321,0.0,0.0,-4.9999999873750765e-05,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
2025-09-08T08:05:13Z,891.0,891.1,15,1554.76323,,,,,,,,,,,,,,,,,,,,1554.76321,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
2025-09-08T08:05:13Z,891.0,891.2,16,1554.76316,,,,,,,,,,,,,,,,,,,,1554.76321,0.0,0.0,9.999999974767206e-05,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,7.105427357601002e-15,,,,0.0,,,,0.0
2025-09-08T08:05:14Z,891.0,891.3,17,1554.7632,,,,,,,,,,,,,,,,,,,,1554.76323,1.9999999949504854e-05,1.649191684712444e-08,-4.9999999873494974e-05,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,-7.105427357601002e-15,,,,0.0,,,,0.0
2025-09-08T08:05:14Z,891.0,891.4,18,1554.76327,,,,,,,,,,,,,,,,,,,,1554.7632,-9.999999974752427e-06,-8.24595842356222e-09,-0.0001499999996212523,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
2025-09-08T08:05:14Z,891.0,891.5,19,1554.76325,,,,,,,,,,,,,,,,,,,,1554.7632,-9.999999974752427e-06,-8.24595842356222e-09,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
