timestamp,time_s,effective_time_s,sample_index,wl_1_nm,wl_2_nm,wl_3_nm,wl_1_filtered_nm,wl_1_delta_nm,wl_1_strain,wl_1_derivative_nm_per_s,wl_2_filtered_nm,wl_2_delta_nm,wl_2_strain,wl_2_derivative_nm_per_s,wl_3_filtered_nm,wl_3_delta_nm,wl_3_strain,wl_3_derivative_nm_per_s
2025-09-11T08:08:34Z,708.0,708.0,0,1559.32021,1542.30818,1529.31239,1559.32021,0.00028500000007625204,2.343230594468126e-07,-0.00020000000176873981,1542.30821,0.0009999999999763531,8.312554552740277e-07,-0.00014999999848438393,1529.31239,0.00039000000015221303,3.269444038856328e-07,-0.00015000000075812069
2025-09-11T08:08:35Z,708.0,708.1,1,1559.32027,1542.30821,1529.31244,1559.32019,0.0002649999998993735,2.178793358358333e-07,-0.0002000000006318716,1542.308195,0.0009850000001279113,8.18786623570606e-07,-0.0001499999996212517,1529.312375,0.00037500000007639755,3.1436961906215107e-07,-0.00015000000075812052
2025-09-11T08:08:35Z,708.0,708.2,2,1559.32017,1542.30821,1529.31236,1559.32017,0.00024499999994986865,2.0143561241179748e-07,-9.999999974744469e-05,1542.30818,0.0009700000000520959,8.063177916781787e-07,-0.0005250000003804104,1529.31236,0.0003600000000005821,3.017948342386693e-07,-0.00012500000025285362
2025-09-11T08:08:35Z,708.0,708.3,3,1559.3201,1542.30806,1529.31231,1559.32017,0.00024499999994986865,2.0143561241179748e-07,-9.999999974744469e-05,1542.30809,0.0008800000000519503,7.315048007016261e-07,-0.0005499999997488373,1529.31235,0.00035000000002582965,2.934116444198853e-07,-0.00024999999936872546
2025-09-11T08:08:35Z,708.0,708.4,4,1559.32013,1542.30809,1529.31235,1559.32015,0.0002250000000003638,1.8499188898776166e-07,-0.000199999999495003,1542.30807,0.0008600000001024455,7.148796916377268e-07,-0.00014999999962125258,1529.31231,0.00031000000012681994,2.5987888514474946e-07,-0.000199999999495003
2025-09-11T08:08:35Z,708.0,708.5,5,1559.32025,1542.30807,1529.31228,1559.32013,0.00020500000005085894,1.6854816556372586e-07,-9.99999997475015e-05,1542.30806,0.0008500000001276931,7.065671371057772e-07,-0.0007000000005062475,1529.31231,0.00031000000012681994,2.5987888514474946e-07,-4.999999987375086e-05
2025-09-11T08:08:35Z,708.0,708.6,6,1559.32015,1542.3079,1529.3123,1559.32013,0.00020500000005085894,1.6854816556372586e-07,9.99999997475015e-05,1542.30793,0.0007200000000011642,5.985039278124203e-07,-0.0008000000002537492,1529.3123,0.0003000000001520675,2.514956953259655e-07,-4.999999987375086e-05
2025-09-11T08:08:35Z,708.0,708.7,7,1559.3201,1542.30793,1529.31233,1559.32015,0.0002250000000003638,1.8499188898776166e-07,-4.999999987406322e-05,1542.3079,0.0006900000000769069,5.735662642165714e-07,-0.0002499999993688393,1529.3123,0.0003000000001520675,2.514956953259655e-07,0.0
2025-09-11T08:08:35Z,708.0,708.8,8,1559.32012,1542.30786,1529.31222,1559.32012,0.00019500000007610652,1.6032630385170795e-07,-0.0002500000005058212,1542.30788,0.000670000000127402,5.569411551526721e-07,-0.000200000000631985,1529.3123,0.0003000000001520675,2.514956953259655e-07,-0.0002500000005054802
2025-09-11T08:08:35Z,708.0,708.9,9,1559.32019,1542.30788,1529.3123,1559.3201,0.000174999999899228,1.4388258024072865e-07,-0.00035000000025312374,1542.30786,0.0006499999999505235,5.403160458997671e-07,-0.0003000000003793731,1529.31225,0.0002500000000509317,2.0957974604143403e-07,-0.0003000000003793729
2025-09-11T08:08:35Z,709.0,709.0,10,1559.32005,1542.30782,1529.31224,1559.32005,0.00012500000002546585,1.0277327168063909e-07,-0.00024999999936875386,1542.30782,0.0006100000000515138,5.070658277719686e-07,-0.00024999999936875386,1529.31224,0.00024000000007617928,2.0119655622265008e-07,0.0
2025-09-11T08:08:36Z,709.0,709.1,11,1559.32001,1542.30781,1529.31225,1559.32005,0.00012500000002546585,1.0277327168063909e-07,0.0,1542.30781,0.0006000000000767614,4.987532732400189e-07,-0.00035000000025312396,1529.31225,0.0002500000000509317,2.0957974604143403e-07,0.0
2025-09-11T08:08:36Z,709.0,709.2,12,1559.32001,1542.30775,1529.31219,1559.32005,0.00012500000002546585,1.0277327168063909e-07,-0.00020000000063221242,1542.30775,0.0005400000000008731,4.488779458593153e-07,-0.0008000000002544314,1529.31224,0.00024000000007617928,2.0119655622265008e-07,-0.0002999999992429024
2025-09-11T08:08:36Z,709.0,709.3,13,1559.32007,1542.30763,1529.31226,1559.32001,8.499999989908247e-05,6.988582464562396e-08,-0.00020000000063221253,1542.30765,0.00044000000002597517,3.6575240035081307e-07,-0.000549999999748951,1529.31219,0.00019000000020241714,1.5928060712873025e-07,-0.0002499999993691803
2025-09-11T08:08:36Z,709.0,709.4,14,1559.32005,1542.30765,1529.31219,1559.32001,8.499999989908247e-05,6.988582464562396e-08,0.00010000000088436993,1542.30764,0.00043000000005122274,3.574398458188634e-07,-9.999999974750172e-05,1529.31219,0.00019000000020241714,1.5928060712873025e-07,-0.0002000000006318715
