timestamp,time_s,effective_time_s,sample_index,wl_1_nm,wl_1_filtered_nm,wl_1_delta_nm,wl_1_strain,wl_1_derivative_nm_per_s
2025-09-05T13:54:19Z,22941.0,22941.0,0,1554.74326,1554.74326,-0.00015000000007603376,-1.236909519398905e-07,0.0002450000001745684
2025-09-05T13:54:19Z,22941.0,22941.14285714286,1,1554.74321,1554.743295,-0.00011500000005071342,-9.482972981433293e-08,0.000245000000177688
2025-09-05T13:54:19Z,22941.0,22941.285714285714,2,1554.74333,1554.74333,-8.000000002539309e-05,-6.596850768877535e-08,0.00012250000009196354
2025-09-05T13:54:19Z,22941.0,22941.428571428572,3,1554.74338,1554.74333,-8.000000002539309e-05,-6.596850768877535e-08,0.00010499999973776541
2025-09-05T13:54:19Z,22941.0,22941.571428571428,4,1554.74341,1554.74336,-5.000000010113581e-05,-4.123031737579476e-08,0.00017499999955937712
2025-09-05T13:54:20Z,22941.0,22941.714285714286,5,1554.74327,1554.74338,-3.0000000151630957e-05,-2.4738190500474367e-08,6.99999998216117e-05
2025-09-05T13:54:20Z,22941.0,22941.85714285714,6,1554.74336,1554.74338,-3.0000000151630957e-05,-2.4738190500474367e-08,-6.99999998216117e-05
2025-09-05T13:54:20Z,22942.0,22942.0,7,1554.74338,1554.74336,-5.000000010113581e-05,-4.123031737579476e-08,-5.7647058676491914e-05
2025-09-05T13:54:20Z,22942.0,22942.1,8,1554.74339,1554.74336,-5.000000010113581e-05,-4.123031737579476e-08,4.999999987176127e-05
2025-09-05T13:54:20Z,22942.0,22942.2,9,1554.74334,1554.74337,-4.0000000126383384e-05,-3.298425393813456e-08,4.999999987176124e-05
2025-09-05T13:54:20Z,22942.0,22942.3,10,1554.74326,1554.74337,-4.0000000126383384e-05,-3.298425393813456e-08,0.0
2025-09-05T13:54:20Z,22942.0,22942.4,11,1554.74337,1554.74337,-4.0000000126383384e-05,-3.298425393813456e-08,0.0
2025-09-05T13:54:20Z,22942.0,22942.5,12,1554.74342,1554.74337,-4.0000000126383384e-05,-3.298425393813456e-08,0.0
2025-09-05T13:54:20Z,22942.0,22942.6,13,1554.74337,1554.74337,-4.0000000126383384e-05,-3.298425393813456e-08,0.0
2025-09-05T13:54:20Z,22942.0,22942.7,14,1554.74331,1554.74337,-4.0000000126383384e-05,-3.298425393813456e-08,0.0
