timestamp,time_s,effective_time_s,sample_index,wl_1_nm,wl_2_nm,wl_1_filtered_nm,wl_1_delta_nm,wl_1_strain,wl_1_derivative_nm_per_s,wl_2_filtered_nm,wl_2_delta_nm,wl_2_strain,wl_2_derivative_nm_per_s
2025-09-12T14:25:18Z,96.0,96.0,0,1537.76698,1524.80941,1537.76692,0.00018000000000029104,1.5006777345802387e-07,3.0000000151630957e-05,1524.80942,0.00022500000022773747,1.891787770557808e-07,5.999999984851456e-05
2025-09-12T14:25:18Z,97.0,97.0,1,1537.76692,1524.80942,1537.7669500000002,0.000210000000151922,1.7507906916073696e-07,-0.0002100000010614167,1524.80948,0.00028500000007625204,2.396264507588928e-07,-0.00041999999893960215
2025-09-12T14:25:18Z,97.0,97.125,2,1537.76686,1524.80955,1537.76692,0.00018000000000029104,1.5006777345802387e-07,-0.00012000000060652383,1524.80942,0.00022500000022773747,1.891787770557808e-07,0.00024000000030355295
2025-09-12T14:25:18Z,97.0,97.25,3,1537.76709,1524.80954,1537.76692,0.00018000000000029104,1.5006777345802387e-07,-7.999999979801942e-05,1524.80954,0.0003450000001521403,2.9007412465317927e-07,0.0004799999996976112
2025-09-12T14:25:18Z,97.0,97.375,4,1537.76687,1524.80933,1537.7669,0.00016000000005078618,1.333935764492576e-07,-7.999999979801942e-05,1524.80954,0.0003450000001521403,2.9007412465317927e-07,-0.000600000000304135
2025-09-12T14:25:18Z,97.0,97.5,5,1537.76694,1524.80954,1537.7669,0.00016000000005078618,1.333935764492576e-07,-8.000000070751412e-05,1524.80939,0.00019500000007610652,1.6395494001305027e-07,-0.0007200000000011642
2025-09-12T14:25:18Z,97.0,97.625,6,1537.7669,1524.80939,1537.76688,0.00013999999987390765,1.1671937925092763e-07,0.0,1524.80936,0.00016500000015184924,1.3873110316149427e-07,-0.00011999999969702912
2025-09-12T14:25:19Z,97.0,97.75,7,1537.76683,1524.80936,1537.7669,0.00016000000005078618,1.333935764492576e-07,0.0,1524.80936,0.00016500000015184924,1.3873110316149427e-07,0.0
2025-09-12T14:25:19Z,97.0,97.875,8,1537.76688,1524.80935,1537.76688,0.00013999999987390765,1.1671937925092763e-07,-0.00028000000020256266,1524.80936,0.00016500000015184924,1.3873110316149427e-07,0.0
2025-09-12T14:25:19Z,98.0,98.0,9,1537.76703,1524.80928,1537.76683,9.000000000014552e-05,7.503388672901193e-08,-0.00015999999959603883,1524.80936,0.00016500000015184924,1.3873110316149427e-07,7.999999979801942e-05
