timestamp,time_s,effective_time_s,sample_index,wl_1_nm,wl_2_nm,wl_3_nm,wl_4_nm,wl_5_nm,wl_6_nm,wl_7_nm,wl_8_nm,wl_9_nm,wl_10_nm,wl_11_nm,wl_12_nm,wl_13_nm,wl_14_nm,wl_15_nm,wl_1_filtered_nm,wl_1_delta_nm,wl_1_strain,wl_1_derivative_nm_per_s,wl_2_filtered_nm,wl_2_delta_nm,wl_2_strain,wl_2_derivative_nm_per_s,wl_3_filtered_nm,wl_3_delta_nm,wl_3_strain,wl_3_derivative_nm_per_s,wl_4_filtered_nm,wl_4_delta_nm,wl_4_strain,wl_4_derivative_nm_per_s,wl_5_filtered_nm,wl_5_delta_nm,wl_5_strain,wl_5_derivative_nm_per_s,wl_6_filtered_nm,wl_6_delta_nm,wl_6_strain,wl_6_derivative_nm_per_s,wl_7_filtered_nm,wl_7_delta_nm,wl_7_strain,wl_7_derivative_nm_per_s,wl_8_filtered_nm,wl_8_delta_nm,wl_8_strain,wl_8_derivative_nm_per_s,wl_9_filtered_nm,wl_9_delta_nm,wl_9_strain,wl_9_derivative_nm_per_s,wl_10_filtered_nm,wl_10_delta_nm,wl_10_strain,wl_10_derivative_nm_per_s,wl_11_filtered_nm,wl_11_delta_nm,wl_11_strain,wl_11_derivative_nm_per_s,wl_12_filtered_nm,wl_12_delta_nm,wl_12_strain,wl_12_derivative_nm_per_s,wl_13_filtered_nm,wl_13_delta_nm,wl_13_strain,wl_13_derivative_nm_per_s,wl_14_filtered_nm,wl_14_delta_nm,wl_14_strain,wl_14_derivative_nm_per_s,wl_15_filtered_nm,wl_15_delta_nm,wl_15_strain,wl_15_derivative_nm_per_s
2025-09-09T13:44:49Z,2975.0,2975.6,10,1554.30661,1537.3033,1524.04698,,,,,,,,,,,,,1554.30665,0.00027000000000043656,2.2270631492512167e-07,-0.0001499999996214228,1537.30328,0.0007350000000769796,6.129617722101566e-07,-0.000900000000002274,1524.04698,0.00018000000000029104,1.5141872990357243e-07,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
2025-09-09T13:44:49Z,2975.0,2975.7,11,1554.30666,1537.30311,1524.04696,,,,,,,,,,,,,1554.30663,0.0002500000000509317,2.0620955089827114e-07,-0.00019999999949477554,1537.30311,0.000565000000051441,4.711883010802694e-07,-0.0008500000001303988,1524.04698,0.00018000000000029104,1.5141872990357243e-07,-0.00010000000088380154,,,,0.0,,,,-1.7763568394002505e-15,,,,0.0,,,,1.4210854715202004e-14,,,,0.0,,,,-1.4210854715202004e-14,,,,1.4210854715202004e-14,,,,0.0,,,,7.105427357601002e-15,,,,7.105427357601002e-15,,,,0.0,,,,0.0
2025-09-09T13:44:49Z,2975.0,2975.8,12,1554.30665,1537.30306,1524.04698,,,,,,,,,,,,,1554.30661,0.00023000000010142685,1.897127868714206e-07,-0.0003000000003794865,1537.30311,0.000565000000051441,4.711883010802694e-07,-0.00020000000063255356,1524.04696,0.0001599999998234125,1.3459442643218755e-07,-0.00010000000088380154,,,,0.0,,,,1.7763568394002505e-15,,,,0.0,,,,-1.4210854715202004e-14,,,,0.0,,,,1.4210854715202004e-14,,,,-1.4210854715202004e-14,,,,0.0,,,,-7.105427357601002e-15,,,,-7.105427357601002e-15,,,,0.0,,,,0.0
2025-09-09T13:44:49Z,2975.0,2975.9,13,1554.30657,1537.30305,1524.04696,,,,,,,,,,,,,1554.30657,0.00018999999997504347,1.5671925863017303e-07,-0.00035000000025352154,1537.30307,0.0005249999999250576,4.3782983718461426e-07,-0.0002500000005059063,1524.04696,0.0001599999998234125,1.3459442643218755e-07,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
2025-09-09T13:44:49Z,2976.0,2976.0,14,1554.3065,1537.30314,1524.04696,,,,,,,,,,,,,1554.30654,0.00016000000005078618,1.3197411258989725e-07,-0.0001499999996214228,1537.30306,0.0005149999999503052,4.294902212581057e-07,-9.999999974761534e-05,1524.04696,0.0001599999998234125,1.3459442643218755e-07,-0.00019999999949523047,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
2025-09-09T13:44:50Z,2976.0,2976.1,15,1554.30654,1537.30307,1524.04692,,,,,,,,,,,,,1554.30654,0.00016000000005078618,1.3197411258989725e-07,-0.00020000000063209885,1537.30305,0.0005049999999755528,4.2115060533159715e-07,-0.000450000000001137,1524.04692,0.0001199999999244028,1.0094581987195822e-07,-0.0002999999992428457,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
2025-09-09T13:44:50Z,2976.0,2976.2,16,1554.30648,1537.30297,1524.04688,,,,,,,,,,,,,1554.3065,0.0001199999999244028,9.898058434864968e-08,-0.00025000000050602004,1537.30297,0.0004249999999501597,3.5443367772990775e-07,-0.0006999999993690385,1524.0469,9.999999997489795e-05,8.412151659184355e-08,-9.999999974784259e-05,,,,0.0,,,,-1.7763568394002505e-15,,,,0.0,,,,1.4210854715202004e-14,,,,0.0,,,,-1.4210854715202004e-14,,,,1.4210854715202004e-14,,,,0.0,,,,7.105427357601002e-15,,,,7.105427357601002e-15,,,,0.0,,,,0.0
2025-09-09T13:44:50Z,2976.0,2976.3,17,1554.30654,1537.30289,1524.0469,,,,,,,,,,,,,1554.30649,0.00010999999994965037,9.073220233522442e-08,-4.9999999873466473e-05,1537.30291,0.00036500000010164513,3.0439598217085643e-07,-0.00040000000012551024,1524.0469,9.999999997489795e-05,8.412151659184355e-08,-9.999999974784259e-05,,,,0.0,,,,1.7763568394002505e-15,,,,0.0,,,,-1.4210854715202004e-14,,,,0.0,,,,1.4210854715202004e-14,,,,-1.4210854715202004e-14,,,,0.0,,,,-7.105427357601002e-15,,,,-7.105427357601002e-15,,,,0.0,,,,0.0
2025-09-09T13:44:50Z,2976.0,2976.4,18,1554.30649,1537.30291,1524.0469,,,,,,,,,,,,,1554.30649,0.00010999999994965037,9.073220233522442e-08,0.0,1537.30289,0.0003449999999247666,2.877167501282184e-07,-0.0006500000006332358,1524.04688,8.000000002539309e-05,6.729721331172888e-08,-0.0002500000005059064,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
2025-09-09T13:44:50Z,2976.0,2976.5,19,1554.30645,1537.30278,1524.04685,,,,,,,,,,,,,1554.30649,0.00010999999994965037,9.073220233522442e-08,-0.00019999999949523047,1537.30278,0.00023499999997511622,1.9598097474700336e-07,-0.0006499999994963672,1524.04685,4.9999999873762135e-05,4.206075820028668e-08,-0.00015000000075829123,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
