timestamp,time_s,effective_time_s,sample_index,wl_1_nm,wl_2_nm,wl_3_nm,wl_4_nm,wl_1_filtered_nm,wl_1_delta_nm,wl_1_strain,wl_1_derivative_nm_per_s,wl_2_filtered_nm,wl_2_delta_nm,wl_2_strain,wl_2_derivative_nm_per_s,wl_3_filtered_nm,wl_3_delta_nm,wl_3_strain,wl_3_derivative_nm_per_s,wl_4_filtered_nm,wl_4_delta_nm,wl_4_strain,wl_4_derivative_nm_per_s
2025-08-12T14:39:36Z,27337.0,27337.0,0,1555.084,1538.06371,1524.99223,,1555.084,-9.000000000014552e-05,-7.419831257150984e-08,-6.499999994957761e-05,1538.06515,0.0008649999999761349,7.210195111862719e-07,-7.999999979801942e-05,1524.99159,5.000000010113581e-05,4.2034701538229775e-08,0.00010999999994965037,,,,0.0
2025-08-12T14:39:36Z,27338.0,27338.0,1,1555.08409,1538.06515,1524.99151,,1555.083935,-0.00015499999994972313,-1.2778598272038857e-07,0.0005199999996051337,1538.06507,0.0007850000001781154,6.543356259251606e-07,-0.0006560000001957543,1524.9917,0.00016000000005078618,1.3451104469295324e-07,-0.0006370000002212358,,,,-1.734723475976807e-18
2025-08-12T14:39:36Z,27338.0,27338.11111111111,2,1555.08387,1538.06536,1524.99159,,1555.084,-9.000000000014552e-05,-7.419831257150984e-08,0.0006974999997688019,1538.06499,0.0007050000001527224,5.876517404745223e-07,-0.00036000000012540107,1524.99162,8.000000002539309e-05,6.725552234647662e-08,-0.0004949999997798931,,,,0.0
2025-08-12T14:39:36Z,27338.0,27338.222222222223,3,1555.08343,1538.06499,1524.99181,,1555.08409,0.0,0.0,0.001079999999326501,1538.06499,0.0007050000001527224,5.876517404745223e-07,-0.002385000000191294,1524.99159,5.000000010113581e-05,4.2034701538229775e-08,-0.0001349999996544921,,,,0.0
2025-08-12T14:39:36Z,27338.0,27338.333333333332,4,1555.08449,1538.06446,1524.99162,,1555.08424,0.00014999999984866008,1.2366385416088124e-07,0.0013049999997738358,1538.06446,0.00017500000012660166,1.4587099948249836e-07,-0.004185000000700429,1524.99159,5.000000010113581e-05,4.2034701538229775e-08,0.0001349999996544921,,,,0.0
2025-08-12T14:39:36Z,27338.0,27338.444444444445,5,1555.08424,1538.06406,1524.99137,,1555.08438,0.0002899999999499414,2.390834515776533e-07,0.0006300000004339926,1538.06406,-0.0002250000000003638,-1.8754842777069288e-07,-0.0018000000005091352,1524.99162,8.000000002539309e-05,6.725552234647662e-08,0.00013499999965449204,,,,0.0
2025-08-12T14:39:37Z,27338.0,27338.555555555555,6,1555.08445,1538.06316,1524.99116,,1555.08438,0.0002899999999499414,2.390834515776533e-07,-0.0006300000004339926,1538.06406,-0.0002250000000003638,-1.8754842777069288e-07,-0.000989999999512638,1524.99162,8.000000002539309e-05,6.725552234647662e-08,8.999999976966138e-05,,,,0.0
2025-08-12T14:39:37Z,27338.0,27338.666666666668,7,1555.08438,1538.06384,1524.99168,,1555.08424,0.00014999999984866008,1.2366385416088124e-07,-0.0011700000001105034,1538.06384,-0.00044499999989966454,-3.709291126178028e-07,-0.0009899999995126383,1524.99164,9.999999997489795e-05,8.406940288530786e-08,8.999999976966132e-05,,,,0.0
2025-08-12T14:39:37Z,27338.0,27338.777777777777,8,1555.08412,1538.06485,1524.99164,,1555.08412,2.999999992425728e-05,2.4732770794685712e-08,-0.0006749999993310031,1538.06384,-0.00044499999989966454,-3.709291126178028e-07,4.4999999884831176e-05,1524.99164,9.999999997489795e-05,8.406940288530786e-08,0.00018000000056250435,,,,0.0
2025-08-12T14:39:37Z,27338.0,27338.88888888889,9,1555.08409,1538.06299,1524.99195,,1555.08409,0.0,0.0,-0.00013499999965449206,1538.06385,-0.0004349999999249121,-3.625936269601639e-07,0.00013499999966038573,1524.99168,0.00014000000010128133,1.1769716415412201e-07,0.0011700000001399712,,,,0.0
2025-08-12T14:39:37Z,27339.0,27339.0,10,1555.08384,1538.06387,1524.99106,,1555.08409,0.0,0.0,0.0,1538.06387,-0.00041499999997540726,-3.459226556448861e-07,8.999999977408156e-05,1524.9919,0.0003600000000005821,3.0264985046356897e-07,0.0009899999995612598,,,,0.0
2025-08-12T14:39:37Z,27339.0,27339.11111111111,11,1555.08389,1538.06385,1524.9919,,1555.08409,0.0,0.0,-0.0008999999997429768,1538.06387,-0.00041499999997540726,-3.459226556448861e-07,0.0031950000000084307,1524.9919,0.0003600000000005821,3.0264985046356897e-07,-0.000989999999512638,,,,0.0
2025-08-12T14:39:37Z,27339.0,27339.222222222223,12,1555.08495,1538.06547,1524.99199,,1555.08389,-0.0001999999999497959,-1.648851390061435e-07,0.0027900000002634077,1538.06458,0.00029500000005100446,2.458968275636922e-07,0.007200000000252439,1524.99168,0.00014000000010128133,1.1769716415412201e-07,-0.0009899999995126383,,,,0.0
2025-08-12T14:39:37Z,27339.0,27339.333333333332,13,1555.08488,1538.06557,1524.99133,,1555.08471,0.0006200000000262662,5.111439310690069e-07,0.003690000000006385,1538.06547,0.0011850000000777072,9.877550529888249e-07,0.004005000000244009,1524.99168,0.00014000000010128133,1.1769716415412201e-07,-0.0005400000006643313,,,,0.0
2025-08-12T14:39:37Z,27339.0,27339.444444444445,14,1555.08341,1538.06458,1524.99168,,1555.08471,0.0006200000000262662,5.111439310690069e-07,-0.0018000000006270058,1538.06547,0.0011850000000777072,9.877550529888249e-07,-0.000494999999788733,1524.99156,1.9999999949504854e-05,1.6813880538831234e-08,-0.0005400000006643313,,,,0.0
2025-08-12T14:39:38Z,27339.0,27339.555555555555,15,1555.08471,1538.06615,1524.99152,,1555.08431,0.00021999999989930075,1.8137365286926727e-07,-0.0018000000006270058,1538.06536,0.0010750000001280569,8.960647105652699e-07,-0.0026550000003996957,1524.99156,1.9999999949504854e-05,1.6813880538831234e-08,0.0005400000006643313,,,,0.0
2025-08-12T14:39:38Z,27339.0,27339.666666666668,16,1555.08431,1538.06488,1524.99156,,1555.08431,0.00021999999989930075,1.8137365286926727e-07,0.001395000000613827,1538.06488,0.0005949999999756983,4.959613978614404e-07,1.414450154224589e-13,1524.99168,0.00014000000010128133,1.1769716415412201e-07,-3.5361158987924635e-14,,,,0.0
2025-08-12T14:39:38Z,27339.0,27339.777777777777,17,1555.084,1538.06536,1524.99188,,1555.08462,0.0005300000000261207,4.369456184974971e-07,9.134967088320067e-14,1538.06536,0.0010750000001280569,8.960647105652699e-07,0.00040500000012810237,1524.99156,1.9999999949504854e-05,1.6813880538831234e-08,-0.0005400000006996925,,,,0.0
2025-08-12T14:39:38Z,27339.0,27339.88888888889,18,1555.0847,1538.06455,1524.992,,1555.08431,0.00021999999989930075,1.8137365286926727e-07,-0.0023850000000999443,1538.06497,0.0006849999999758438,5.709807689697175e-07,1.149236955599875e-13,1524.99156,1.9999999949504854e-05,1.6813880538831234e-08,0.0013950000006138269,,,,0.0
2025-08-12T14:39:38Z,27340.0,27340.0,19,1555.08462,1538.06568,1524.99125,,1555.08409,0.0,0.0,0.0013500000007039487,1538.06536,0.0010750000001280569,8.960647105652699e-07,0.0,1524.99187,0.0003300000000763248,2.774290296553221e-07,-0.0003149999992092853,,,,0.0
2025-08-12T14:39:38Z,27340.0,27340.11111111111,20,1555.08409,1538.06497,1524.99149,,1555.08461,0.0005200000000513683,4.287013615659352e-07,1.532316673692825e-13,1538.06497,0.0006849999999758438,5.709807689697175e-07,0.0009449999995128832,1524.99149,-4.9999999873762135e-05,-4.203470134707808e-08,-0.0017099999998282692,,,,0.0
2025-08-12T14:39:38Z,27340.0,27340.222222222223,21,1555.08339,1538.06574,1524.99187,,1555.08409,0.0,0.0,-0.002340000000150285,1538.06557,0.0012850000000526052,1.071109909754741e-06,-1.7680561875677014e-13,1524.99149,-4.9999999873762135e-05,-4.203470134707808e-08,0.0012150000000395356,,,,0.0
