timestamp,time_s,effective_time_s,sample_index,wl_1_nm,wl_2_nm,wl_3_nm,wl_1_filtered_nm,wl_1_delta_nm,wl_1_strain,wl_1_derivative_nm_per_s,wl_2_filtered_nm,wl_2_delta_nm,wl_2_strain,wl_2_derivative_nm_per_s,wl_3_filtered_nm,wl_3_delta_nm,wl_3_strain,wl_3_derivative_nm_per_s
2025-09-11T11:57:37Z,14450.0,14450.0,0,1559.35035,1542.51181,1529.40033,1559.35035,0.0,0.0,-3.500000070750502e-05,1542.51181,9.999999997489795e-05,8.311452505793041e-08,-0.00010500000053089934,1529.40031,-9.999999974752427e-06,-8.382705705295091e-09,6.999999982339432e-05
2025-09-11T11:57:37Z,14450.0,14450.142857142857,1,1559.35036,1542.51175,1529.40028,1559.3503449999998,-5.000000101063051e-06,-4.110850739748399e-09,-3.499999991169716e-05,1542.511795,8.499999989908247e-05,7.064734623309765e-08,-0.00010499999973509147,1529.40032,0.0,0.0,0.0
2025-09-11T11:57:37Z,14450.0,14450.285714285714,2,1559.35034,1542.51182,1529.40031,1559.35034,-9.999999974752427e-06,-8.221701292556953e-09,-1.7499999557944647e-05,1542.51178,7.000000005064066e-05,5.818016759724545e-08,-8.749999938133894e-05,1529.40031,-9.999999974752427e-06,-8.382705705295091e-09,-3.499999991169716e-05
2025-09-11T11:57:37Z,14450.0,14450.42857142857,3,1559.35033,1542.51178,1529.40035,1559.35034,-9.999999974752427e-06,-8.221701292556953e-09,0.0,1542.51177,6.000000007588824e-05,4.9868715110350466e-08,-3.499999991191997e-05,1529.40031,-9.999999974752427e-06,-8.382705705295091e-09,0.0
2025-09-11T11:57:37Z,14450.0,14450.57142857143,4,1559.35032,1542.5117,1529.40031,1559.35034,-9.999999974752427e-06,-8.221701292556953e-09,-3.499999991191999e-05,1542.51177,6.000000007588824e-05,4.9868715110350466e-08,-2.710505431213761e-20,1529.40031,-9.999999974752427e-06,-8.382705705295091e-09,0.0
2025-09-11T11:57:37Z,14450.0,14450.714285714286,5,1559.35035,1542.51177,1529.4003,1559.35033,-1.9999999949504854e-05,-1.6443402585113905e-08,3.499999991169716e-05,1542.51177,6.000000007588824e-05,4.9868715110350466e-08,0.0,1529.40031,-9.999999974752427e-06,-8.382705705295091e-09,0.0
2025-09-11T11:57:37Z,14450.0,14450.857142857143,6,1559.3504,1542.51173,1529.40029,1559.35035,0.0,0.0,6.999999982339432e-05,1542.51177,6.000000007588824e-05,4.9868715110350466e-08,0.0,1529.40031,-9.999999974752427e-06,-8.382705705295091e-09,3.499999991169716e-05
2025-09-11T11:57:37Z,14451.0,14451.0,7,1559.3503,1542.51183,1529.40036,1559.35035,0.0,0.0,0.0,1542.51177,6.000000007588824e-05,4.9868715110350466e-08,-0.00011764705986329899,1529.40032,0.0,0.0,2.8823529339137246e-05
2025-09-11T11:57:38Z,14451.0,14451.1,8,1559.35035,1542.51177,1529.40032,1559.35035,0.0,0.0,0.0,1542.51175,3.999999989900971e-05,3.324580994757994e-08,-0.00010000000088402884,1529.40032,0.0,0.0,0.0
2025-09-11T11:57:38Z,14451.0,14451.2,9,1559.35038,1542.51172,1529.40036,1559.35035,0.0,0.0,0.0,1542.51175,3.999999989900971e-05,3.324580994757994e-08,-4.9999999874944485e-05,1529.40032,0.0,0.0,0.0
