timestamp,time_s,effective_time_s,sample_index,wl_1_nm,wl_2_nm,wl_1_filtered_nm,wl_1_delta_nm,wl_1_strain,wl_1_derivative_nm_per_s,wl_2_filtered_nm,wl_2_delta_nm,wl_2_strain,wl_2_derivative_nm_per_s
2025-09-12T08:49:11Z,5234.0,5234.0,0,1537.83416,1524.81708,1537.83409,0.0008800000000519503,7.33632958981118e-07,-3.999999989900971e-05,1524.81707,0.00091999999995096,7.735274704588534e-07,-6.000000030326191e-05
2025-09-12T08:49:12Z,5234.0,5234.25,1,1537.83409,1524.81707,1537.83408,0.0008700000000771979,7.252962208324185e-07,-3.999999989900971e-05,1524.817055,0.0009049999998751446,7.609156094630419e-07,-6.000000030326191e-05
2025-09-12T08:49:12Z,5234.0,5234.5,2,1537.83407,1524.81701,1537.83407,0.0008600000001024455,7.169594826837189e-07,-0.0002200000003540481,1524.81704,0.0008899999997993291,7.483037484672303e-07,-9.000000000014552e-05
2025-09-12T08:49:12Z,5234.0,5234.75,3,1537.83396,1524.81704,1537.83397,0.0007599999999001739,6.335921008176121e-07,-0.0002200000003540481,1524.81701,0.0008599999998750718,7.230800266667808e-07,-0.000319999999646825
2025-09-12T08:49:12Z,5235.0,5235.0,4,1537.83396,1524.81688,1537.83396,0.0007499999999254214,6.252553626689125e-07,-1.1428571399746922e-05,1524.81688,0.0007299999999759166,6.137772320069928e-07,-0.00014857142845656375
2025-09-12T08:49:12Z,5235.0,5235.1,5,1537.83397,1524.8168,1537.83396,0.0007499999999254214,6.252553626689125e-07,-0.0001999999994970491,1524.81688,0.0007299999999759166,6.137772320069928e-07,-0.00010000000088539315
2025-09-12T08:49:12Z,5235.0,5235.2,6,1537.8339,1524.81686,1537.83392,0.0007100000000264117,5.919084100741142e-07,-0.00019999999949704955,1524.81686,0.000709999999799038,5.969614172821861e-07,-0.00030000000037880455
2025-09-12T08:49:12Z,5235.0,5235.3,7,1537.83392,1524.81689,1537.83392,0.0007100000000264117,5.919084100741142e-07,-9.999999974852477e-05,1524.81682,0.0006699999999000283,5.633297882149202e-07,-0.00014999999961914923
2025-09-12T08:49:12Z,5235.0,5235.4,8,1537.83389,1524.81682,1537.8339,0.0006900000000769069,5.75234933776715e-07,-0.00014999999962187795,1524.81683,0.0006799999998747808,5.717376954817368e-07,9.094287822808411e-16
2025-09-12T08:49:12Z,5235.0,5235.5,9,1537.83398,1524.81681,1537.83389,0.0006800000001021544,5.668981956280155e-07,-0.0008000000002510205,1524.81682,0.0006699999999000283,5.633297882149202e-07,-9.999999974716041e-05
2025-09-12T08:49:12Z,5235.0,5235.6,10,1537.83374,1524.81683,1537.83374,0.0005300000000261207,4.4184712301841073e-07,-0.0008000000002482918,1524.81681,0.0006599999999252759,5.549218809481037e-07,-0.00035000000025579544
2025-09-12T08:49:13Z,5235.0,5235.7,11,1537.83373,1524.81675,1537.83373,0.0005200000000513683,4.335103848697112e-07,-0.00035000000025124786,1524.81675,0.0005999999998493877,5.044744371560311e-07,-0.0008000000002528398
2025-09-12T08:49:13Z,5235.0,5235.8,12,1537.83362,1524.81654,1537.83367,0.00045999999997548,3.834899557879582e-07,-0.0003000000003769857,1524.81665,0.0004999999998744897,4.203953642966926e-07,-0.0006499999994931845
2025-09-12T08:49:13Z,5235.0,5235.9,13,1537.83367,1524.81662,1537.83367,0.00045999999997548,3.834899557879582e-07,-4.999999987335274e-05,1524.81662,0.00046999999995023245,3.951716424962432e-07,-0.0005499999997464785
2025-09-12T08:49:13Z,5236.0,5236.0,14,1537.83366,1524.81665,1537.83366,0.0004500000000007276,3.751532176392586e-07,-5.555555541499925e-05,1524.81654,0.00038999999992483936,3.2790838417053763e-07,-0.0005511111109807567
2025-09-12T08:49:13Z,5236.0,5236.125,15,1537.83377,1524.81633,1537.83366,0.0004500000000007276,3.751532176392586e-07,-0.00015999999959603883,1524.81651,0.0003600000000005821,3.0268466237008815e-07,-0.00011999999969702912
2025-09-12T08:49:13Z,5236.0,5236.25,16,1537.83357,1524.81651,1537.83362,0.0004100000001017179,3.418062650444603e-07,-0.0003600000000005821,1524.81651,0.0003600000000005821,3.0268466237008815e-07,-0.00032000000010157237
