timestamp,time_s,effective_time_s,sample_index,wl_1_nm,wl_1_filtered_nm,wl_1_delta_nm,wl_1_strain,wl_1_derivative_nm_per_s
2025-09-11T13:00:32Z,18225.0,18225.0,0,1529.46655,1529.46655,-0.00012999999989915523,-1.0897044618021917e-07,0.00018000000000029104
2025-09-11T13:00:32Z,18225.0,18225.5,1,1529.46651,1529.46664,-3.999999989900971e-05,-3.352936799680824e-08,0.00018000000000029104
2025-09-11T13:00:32Z,18226.0,18226.0,2,1529.46673,1529.46673,5.000000010113581e-05,4.1911710186602694e-08,2.9999999999684684e-05
2025-09-11T13:00:33Z,18226.0,18226.1,3,1529.46673,1529.46673,5.000000010113581e-05,4.1911710186602694e-08,0.0002999999992305675
2025-09-11T13:00:33Z,18226.0,18226.2,4,1529.46679,1529.46679,0.00010999999994965037,9.220576218181505e-08,0.0005999999996198311
2025-09-11T13:00:33Z,18226.0,18226.3,5,1529.46685,1529.46685,0.0001700000000255386,1.4249981436761982e-07,0.00030000000038926374
2025-09-11T13:00:33Z,18226.0,18226.4,6,1529.46699,1529.46685,0.0001700000000255386,1.4249981436761982e-07,0.00030000000038926374
2025-09-11T13:00:33Z,18226.0,18226.5,7,1529.46695,1529.46691,0.00023000000010142685,1.9279386655342456e-07,0.00030000000038380673
2025-09-11T13:00:33Z,18226.0,18226.6,8,1529.46674,1529.46691,0.00023000000010142685,1.9279386655342456e-07,-0.000850000000093678
2025-09-11T13:00:33Z,18226.0,18226.7,9,1529.46691,1529.46674,6.000000007588824e-05,5.0294052185804754e-08,-0.0010500000007321432
2025-09-11T13:00:33Z,18226.0,18226.8,10,1529.46652,1529.4667,1.9999999949504854e-05,1.676468399840412e-08,-0.00020000000063846528
2025-09-11T13:00:33Z,18226.0,18226.9,11,1529.4667,1529.4667,1.9999999949504854e-05,1.676468399840412e-08,-4.9999999875399226e-05
2025-09-11T13:00:33Z,18227.0,18227.0,12,1529.46669,1529.46669,9.999999974752427e-06,8.38234199920206e-09,0.0
