Timestamp	Time [s]	WL 1[nm]	
2025-08-11T13:09:33Z	3461.00000	1555.03682	1537.98409	1524.94651
2025-08-11T13:09:33Z	3461.00000	1555.03643	1537.98393	1524.94703
2025-08-11T13:09:33Z	3461.00000	1555.03701	1537.98379	1524.94745
2025-08-11T13:09:33Z	3461.00000	1555.03700	1537.98399	1524.94701
2025-08-11T13:09:34Z	3461.00000	1555.03670	1537.98457	1524.94708
2025-08-11T13:09:34Z	3461.00000	1555.03663	1537.98474	1524.94707
2025-08-11T13:09:34Z	3461.00000	1555.03733	1537.98483	1524.94709
2025-08-11T13:09:34Z	3461.00000	1555.03684	1537.98411	1524.94716
2025-08-11T13:09:34Z	3462.00000	1555.03666	1537.98445	1524.94649
2025-08-11T13:09:34Z	3462.00000	1555.03701	1537.98343	1524.94733
2025-08-11T13:09:34Z	3462.00000	1555.03638	1537.98421	1524.94704
2025-08-11T13:09:34Z	3462.00000	1555.03647	1537.98392	1524.94679
2025-08-11T13:09:35Z	3462.00000	1555.03711	1537.98367	1524.94701
2025-08-11T13:09:35Z	3462.00000	1555.03744	1537.98536	1524.94731
2025-08-11T13:09:35Z	3462.00000	1555.03694	1537.98361	1524.94685
2025-08-11T13:09:35Z	3462.00000	1555.03692	1537.98450	1524.94637
2025-08-11T13:09:35Z	3463.00000	1555.03630	1537.98543	1524.94686
2025-08-11T13:09:35Z	3463.00000	1555.03688	1537.98524	1524.94654
2025-08-11T13:09:35Z	3463.00000	1555.03704	1537.98421	1524.94646
2025-08-11T13:09:35Z	3463.00000	1555.03705	1537.98456	1524.94653
2025-08-11T13:09:35Z	3463.00000	1555.03699	1537.98468	1524.94674
2025-08-11T13:09:36Z	3463.00000	1555.03676	1537.98406	1524.94655
2025-08-11T13:09:36Z	3463.00000	1555.03708	1537.98385	1524.94645
2025-08-11T13:09:36Z	3463.00000	1555.03705	1537.98430	1524.94718
2025-08-11T13:09:36Z	3463.00000	1555.03678	1537.98448	1524.94707
2025-08-11T13:09:36Z	3464.00000	1555.03728	1537.98468	1524.94699
2025-08-11T13:09:36Z	3464.00000	1555.03673	1537.98531	1524.94618
2025-08-11T13:09:36Z	3464.00000	1555.03674	1537.98409	1524.94742
2025-08-11T13:09:36Z	3464.00000	1555.03671	1537.98440	1524.94690
2025-08-11T13:09:37Z	3464.00000	1555.03661	1537.98415	1524.94668
2025-08-11T13:09:37Z	3464.00000	1555.03662	1537.98529	1524.94683
2025-08-11T13:09:37Z	3464.00000	1555.03663	1537.98379	1524.94694
2025-08-11T13:09:37Z	3465.00000	1555.03661	1537.98426	1524.94645
2025-08-11T13:09:37Z	3465.00000	1555.03664	1537.98376	1524.94743
2025-08-11T13:09:37Z	3465.00000	1555.03803	1537.98604	1524.94847
2025-08-11T13:09:37Z	3465.00000	1555.03704	1537.98525	1524.94748
2025-08-11T13:09:38Z	3465.00000	1555.03635	1537.98482	1524.94628
2025-08-11T13:09:38Z	3465.00000	1555.03669	1537.98429	1524.94706
2025-08-11T13:09:38Z	3465.00000	1555.03631	1537.98499	1524.94634
2025-08-11T13:09:38Z	3465.00000	1555.03684	1537.98440	1524.94670
2025-08-11T13:09:38Z	3465.00000	1555.03695	1537.98403	1524.94628
2025-08-11T13:09:38Z	3466.00000	1555.03662	1537.98467	1524.94699
