Timestamp	Time [s]	WL 1[nm]	
2025-09-09T12:57:37Z	143.00000	1556.43576	1541.09097	1525.82655
2025-09-09T12:57:37Z	143.00000	1556.49177	1541.18683	1525.87675
2025-09-09T12:57:37Z	143.00000	1556.56293	1541.30754	1525.92297
2025-09-09T12:57:37Z	143.00000	1556.60709	1541.38436	1525.95773
2025-09-09T12:57:37Z	143.00000	1556.65142	1541.48159	1525.99243
2025-09-09T12:57:37Z	143.00000	1556.69137	1541.55124	1526.02320
2025-09-09T12:57:37Z	143.00000	1556.73496	1541.60634	1526.04676
2025-09-09T12:57:37Z	143.00000	1556.76098	1541.67300	1526.07479
2025-09-09T12:57:37Z	144.00000	1556.77918	1541.70657	1526.08854
2025-09-09T12:57:38Z	144.00000	1556.80120	1541.74761	1526.10522
2025-09-09T12:57:38Z	144.00000	1556.82042	1541.78380	1526.11950
2025-09-09T12:57:38Z	144.00000	1556.83672	1541.83084	1526.13191
2025-09-09T12:57:38Z	144.00000	1556.84877	1541.85260	1526.14079
2025-09-09T12:57:38Z	144.00000	1556.85940	1541.87187	1526.14850
2025-09-09T12:57:38Z	144.00000	1556.88194	1541.88776	1526.15496
2025-09-09T12:57:38Z	144.00000	1556.89147	1541.90503	1526.16178
2025-09-09T12:57:38Z	144.00000	1556.89808	1541.91725	1526.16655
2025-09-09T12:57:38Z	144.00000	1556.90380	1541.92784	1526.17071
2025-09-09T12:57:39Z	145.00000	1556.90988	1541.93920	1526.17508
2025-09-09T12:57:39Z	145.00000	1556.91490	1541.94873	1526.17862
2025-09-09T12:57:39Z	145.00000	1556.91762	1541.95388	1526.18056
2025-09-09T12:57:39Z	145.00000	1556.92117	1541.96080	1526.18315
2025-09-09T12:57:39Z	145.00000	1555.75547	1539.92757	1525.28138
2025-09-09T12:57:39Z	145.00000	1555.22092	1538.97946	1524.87263
2025-09-09T12:57:39Z	145.00000	1555.00053	1538.60588	1524.70736
2025-09-09T12:57:39Z	145.00000	1554.88001	1538.38064	1524.61106
2025-09-09T12:57:39Z	145.00000	1554.70733	1538.06286	1524.47451
2025-09-09T12:57:39Z	145.00000	1554.54891	1537.77802	1524.34921
2025-09-09T12:57:39Z	146.00000	1554.41820	1537.55548	1524.24781
2025-09-09T12:57:40Z	146.00000	1554.29375	1537.34057	1524.15311
2025-09-09T12:57:40Z	146.00000	1554.20390	1537.17055	1524.07873
2025-09-09T12:57:40Z	146.00000	1554.19982	1537.16145	1524.07593
2025-09-09T12:57:40Z	146.00000	1554.19723	1537.15535	1524.07441
2025-09-09T12:57:40Z	146.00000	1554.19446	1537.14962	1524.07247
2025-09-09T12:57:40Z	146.00000	1554.19228	1537.14515	1524.07102
2025-09-09T12:57:40Z	146.00000	1554.19091	1537.14233	1524.07007
2025-09-09T12:57:40Z	146.00000	1554.18945	1537.13939	1524.06894
2025-09-09T12:57:40Z	146.00000	1554.18795	1537.13641	1524.06790
2025-09-09T12:57:40Z	147.00000	1554.18671	1537.13408	1524.06707
2025-09-09T12:57:41Z	147.00000	1554.18559	1537.13195	1524.06629
2025-09-09T12:57:41Z	147.00000	1554.18459	1537.13007	1524.06561
2025-09-09T12:57:41Z	147.00000	1554.18351	1537.12801	1524.06484
2025-09-09T12:57:41Z	147.00000	1554.18264	1537.12640	1524.06415
2025-09-09T12:57:41Z	147.00000	1554.18175	1537.12491	1524.06362
2025-09-09T12:57:41Z	147.00000	1554.18092	1537.12325	1524.06296
2025-09-09T12:57:41Z	147.00000	1554.18014	1537.12191	1524.06249
2025-09-09T12:57:41Z	147.00000	1554.16922	1537.12072	1524.06200
2025-09-09T12:57:41Z	147.00000	1554.16853	1537.11959	1524.06155
2025-09-09T12:57:41Z	148.00000	1554.16780	1537.11828	1524.06105
2025-09-09T12:57:42Z	148.00000	1554.16710	1537.11709	1524.06060
2025-09-09T12:57:42Z	148.00000	1554.16661	1537.11609	1524.06021
2025-09-09T12:57:42Z	148.00000	1554.16613	1537.11532	1524.05990
2025-09-09T12:57:42Z	148.00000	1554.16454	1537.11428	1524.05676
2025-09-09T12:57:42Z	148.00000	1554.16402	1537.11324	1524.05635
2025-09-09T12:57:42Z	148.00000	1554.16355	1537.11253	1524.05610
2025-09-09T12:57:42Z	148.00000	1554.16301	1537.11155	1524.05575
2025-09-09T12:57:42Z	148.00000	1554.16259	1537.11086	1524.05549
2025-09-09T12:57:42Z	148.00000	1554.16225	1537.11026	1524.05522
2025-09-09T12:57:42Z	149.00000	1554.16189	1537.10956	1524.05491
2025-09-09T12:57:43Z	149.00000	1554.16140	1537.10883	1524.05462
2025-09-09T12:57:43Z	149.00000	1554.16102	1537.10819	1524.05436
2025-09-09T12:57:43Z	149.00000	1554.16064	1537.10754	1524.05401
2025-09-09T12:57:43Z	149.00000	1554.16025	1537.10695	1524.05380
2025-09-09T12:57:43Z	149.00000	1554.15998	1537.10639	1524.05355
2025-09-09T12:57:43Z	149.00000	1554.15960	1537.10580	1524.05333
2025-09-09T12:57:43Z	149.00000	1554.15934	1537.10520	1524.05313
2025-09-09T12:57:43Z	149.00000	1554.15902	1537.10467	1524.05292
2025-09-09T12:57:43Z	149.00000	1554.15870	1537.10415	1524.05271
2025-09-09T12:57:43Z	150.00000	1554.15839	1537.10357	1524.05252
2025-09-09T12:57:44Z	150.00000	1554.15808	1537.10310	1524.05232
2025-09-09T12:57:44Z	150.00000	1554.15782	1537.10260	1524.05212
2025-09-09T12:57:44Z	150.00000	1554.15749	1537.10210	1524.05192
2025-09-09T12:57:44Z	150.00000	1554.15724	1537.10160	1524.05172
2025-09-09T12:57:44Z	150.00000	1554.29419	1537.33690	1524.15879
2025-09-09T12:57:44Z	150.00000	1554.55587	1537.78070	1524.36304
2025-09-09T12:57:44Z	150.00000	1554.74759	1538.11962	1524.51432
2025-09-09T12:57:44Z	150.00000	1554.92738	1538.44391	1524.66047
