Timestamp	Time [s]	WL 1[nm]	
2025-08-11T12:12:46Z	53.00000	1555.02692	1537.96396	1524.94714
2025-08-11T12:12:46Z	53.00000	1555.02666	1537.96394	1524.94728
2025-08-11T12:12:46Z	53.00000	1555.02690	1537.96436	1524.94718
2025-08-11T12:12:46Z	53.00000	1555.02649	1537.96397	1524.94701
2025-08-11T12:12:46Z	54.00000	1555.02678	1537.96402	1524.94737
2025-08-11T12:12:46Z	54.00000	1555.02682	1537.96392	1524.94716
2025-08-11T12:12:46Z	54.00000	1555.02689	1537.96425	1524.94726
2025-08-11T12:12:46Z	54.00000	1555.02678	1537.96406	1524.94704
2025-08-11T12:12:46Z	54.00000	1555.02668	1537.96403	1524.94697
2025-08-11T12:12:47Z	54.00000	1555.02686	1537.96407	1524.94711
2025-08-11T12:12:47Z	54.00000	1555.02682	1537.96406	1524.94716
2025-08-11T12:12:47Z	54.00000	1555.02669	1537.96414	1524.94697
2025-08-11T12:12:47Z	54.00000	1555.02678	1537.96379	1524.94719
2025-08-11T12:12:47Z	54.00000	1555.02674	1537.96393	1524.94711
2025-08-11T12:12:47Z	55.00000	1555.02680	1537.96397	1524.94740
2025-08-11T12:12:47Z	55.00000	1555.02681	1537.96407	1524.94698
2025-08-11T12:12:47Z	55.00000	1555.02623	1537.96277	1524.94696
2025-08-11T12:12:47Z	55.00000	1555.02633	1537.96385	1524.94683
2025-08-11T12:12:48Z	55.00000	1555.02687	1537.96403	1524.94719
2025-08-11T12:12:48Z	55.00000	1555.02667	1537.96395	1524.94736
2025-08-11T12:12:48Z	55.00000	1555.02691	1537.96389	1524.94710
2025-08-11T12:12:48Z	55.00000	1555.02658	1537.96361	1524.94696
2025-08-11T12:12:48Z	55.00000	1555.02648	1537.96418	1524.94718
2025-08-11T12:12:48Z	55.00000	1555.02668	1537.96401	1524.94738
2025-08-11T12:12:48Z	56.00000	1555.02676	1537.96413	1524.94711
2025-08-11T12:12:48Z	56.00000	1555.02669	1537.96407	1524.94702
2025-08-11T12:12:48Z	56.00000	1555.02647	1537.96389	1524.94721
2025-08-11T12:12:48Z	56.00000	1555.02682	1537.96385	1524.94704
2025-08-11T12:12:48Z	56.00000	1555.02688	1537.96399	1524.94705
2025-08-11T12:12:49Z	56.00000	1555.02662	1537.96421	1524.94723
2025-08-11T12:12:49Z	56.00000	1555.02667	1537.96380	1524.94701
2025-08-11T12:12:49Z	56.00000	1555.02666	1537.96397	1524.94726
2025-08-11T12:12:49Z	56.00000	1555.02662	1537.96395	1524.94712
2025-08-11T12:12:49Z	56.00000	1555.02665	1537.96366	1524.94702
2025-08-11T12:12:49Z	57.00000	1555.02630	1537.96387	1524.94700
2025-08-11T12:12:49Z	57.00000	1555.02651	1537.96377	1524.94663
2025-08-11T12:12:49Z	57.00000	1555.02652	1537.96370	1524.94710
2025-08-11T12:12:49Z	57.00000	1555.02659	1537.96413	1524.94707
2025-08-11T12:12:49Z	57.00000	1555.02656	1537.96400	1524.94702
2025-08-11T12:12:50Z	57.00000	1555.02648	1537.96405	1524.94705
2025-08-11T12:12:50Z	57.00000	1555.02674	1537.96398	1524.94711
2025-08-11T12:12:50Z	57.00000	1555.02635	1537.96387	1524.94710
2025-08-11T12:12:50Z	57.00000	1555.02655	1537.96383	1524.94712
2025-08-11T12:12:50Z	58.00000	1555.02634	1537.96244	1524.94676
2025-08-11T12:12:50Z	58.00000	1555.02651	1537.96391	1524.94709
2025-08-11T12:12:50Z	58.00000	1555.02636	1537.96365	1524.94703
2025-08-11T12:12:51Z	58.00000	1555.02632	1537.96356	1524.94677
2025-08-11T12:12:51Z	58.00000	1555.02620	1537.96349	1524.94722
2025-08-11T12:12:51Z	58.00000	1555.02646	1537.96391	1524.94717
2025-08-11T12:12:51Z	58.00000	1555.02630	1537.96368	1524.94692
2025-08-11T12:12:51Z	58.00000	1555.02650	1537.96369	1524.94723
2025-08-11T12:12:51Z	59.00000	1555.02632	1537.96382	1524.94710
2025-08-11T12:12:51Z	59.00000	1555.02638	1537.96346	1524.94718
2025-08-11T12:12:51Z	59.00000	1555.02609	1537.96361	1524.94649
2025-08-11T12:12:51Z	59.00000	1555.02640	1537.96395	1524.94715
2025-08-11T12:12:52Z	59.00000	1555.02646	1537.96391	1524.94714
2025-08-11T12:12:52Z	59.00000	1555.02634	1537.96365	1524.94723
2025-08-11T12:12:52Z	59.00000	1555.02641	1537.96372	1524.94697
2025-08-11T12:12:52Z	59.00000	1555.02631	1537.96364	1524.94710
2025-08-11T12:12:52Z	59.00000	1555.02642	1537.96381	1524.94731
2025-08-11T12:12:52Z	60.00000	1555.02638	1537.96375	1524.94737
2025-08-11T12:12:52Z	60.00000	1555.02610	1537.96352	1524.94675
2025-08-11T12:12:52Z	60.00000	1555.02620	1537.96359	1524.94717
2025-08-11T12:12:52Z	60.00000	1555.02603	1537.96344	1524.94690
2025-08-11T12:12:53Z	60.00000	1555.02610	1537.96365	1524.94701
2025-08-11T12:12:53Z	60.00000	1555.02614	1537.96356	1524.94689
2025-08-11T12:12:53Z	60.00000	1555.02605	1537.96366	1524.94697
2025-08-11T12:12:53Z	60.00000	1555.02609	1537.96354	1524.94709
2025-08-11T12:12:53Z	60.00000	1555.02608	1537.96366	1524.94686
2025-08-11T12:12:53Z	61.00000	1555.02606	1537.96374	1524.94704
2025-08-11T12:12:53Z	61.00000	1555.02611	1537.96358	1524.94716
2025-08-11T12:12:53Z	61.00000	1555.02595	1537.96254	1524.94664
2025-08-11T12:12:54Z	61.00000	1555.02581	1537.96330	1524.94687
2025-08-11T12:12:54Z	61.00000	1555.02617	1537.96388	1524.94726
2025-08-11T12:12:54Z	61.00000	1555.02585	1537.96368	1524.94705
2025-08-11T12:12:54Z	61.00000	1555.02603	1537.96400	1524.94736
2025-08-11T12:12:54Z	62.00000	1555.02569	1537.96357	1524.94692
