Timestamp	Time [s]	WL 1[nm]	
2025-09-09T13:44:48Z	2974.00000	1554.30679	1537.30373	1524.04714
2025-09-09T13:44:48Z	2974.00000	1554.30676	1537.30367	1524.04709
2025-09-09T13:44:48Z	2974.00000	1554.30672	1537.30366	1524.04709
2025-09-09T13:44:48Z	2974.00000	1554.30677	1537.30353	1524.04710
2025-09-09T13:44:48Z	2975.00000	1554.30677	1537.30342	1524.04702
2025-09-09T13:44:49Z	2975.00000	1554.30671	1537.30346	1524.04708
2025-09-09T13:44:49Z	2975.00000	1554.30667	1537.30351	1524.04706
2025-09-09T13:44:49Z	2975.00000	1554.30668	1537.30335	1524.04702
2025-09-09T13:44:49Z	2975.00000	1554.30672	1537.30328	1524.04704
2025-09-09T13:44:49Z	2975.00000	1554.30663	1537.30329	1524.04698
2025-09-09T13:44:49Z	2975.00000	1554.30661	1537.30330	1524.04698
2025-09-09T13:44:49Z	2975.00000	1554.30666	1537.30311	1524.04696
2025-09-09T13:44:49Z	2975.00000	1554.30665	1537.30306	1524.04698
2025-09-09T13:44:49Z	2975.00000	1554.30657	1537.30305	1524.04696
2025-09-09T13:44:49Z	2976.00000	1554.30650	1537.30314	1524.04696
2025-09-09T13:44:50Z	2976.00000	1554.30654	1537.30307	1524.04692
2025-09-09T13:44:50Z	2976.00000	1554.30648	1537.30297	1524.04688
2025-09-09T13:44:50Z	2976.00000	1554.30654	1537.30289	1524.04690
2025-09-09T13:44:50Z	2976.00000	1554.30649	1537.30291	1524.04690
2025-09-09T13:44:50Z	2976.00000	1554.30645	1537.30278	1524.04685
2025-09-09T13:44:50Z	2976.00000	1554.30649	1537.30271	1524.04683
2025-09-09T13:44:50Z	2976.00000	1554.30640	1537.30276	1524.04685
2025-09-09T13:44:50Z	2976.00000	1554.30642	1537.30265	1524.04681
2025-09-09T13:44:50Z	2976.00000	1554.30641	1537.30258	1524.04683
2025-09-09T13:44:50Z	2977.00000	1554.30645	1537.30256	1524.04681
2025-09-09T13:44:51Z	2977.00000	1554.30635	1537.30253	1524.04679
