Timestamp	Time [s]	WL 1[nm]	
2025-09-12T14:25:27Z	106.00000	1537.76638	1524.80902
2025-09-12T14:25:27Z	106.00000	1537.76626	1524.80875
2025-09-12T14:25:27Z	106.00000	1537.76629	1524.80905
2025-09-12T14:25:27Z	106.00000	1537.76648	1524.80886
2025-09-12T14:25:27Z	106.00000	1537.76634	1524.80879
2025-09-12T14:25:27Z	106.00000	1537.76622	1524.80880
2025-09-12T14:25:28Z	106.00000	1537.76629	1524.80898
2025-09-12T14:25:28Z	106.00000	1537.76623	1524.80880
2025-09-12T14:25:28Z	107.00000	1537.76626	1524.80873
2025-09-12T14:25:28Z	107.00000	1537.76642	1524.80872
2025-09-12T14:25:28Z	107.00000	1537.76630	1524.80880
2025-09-12T14:25:28Z	107.00000	1537.76628	1524.80864
2025-09-12T14:25:28Z	107.00000	1537.76614	1524.80879
2025-09-12T14:25:28Z	107.00000	1537.76621	1524.80875
2025-09-12T14:25:28Z	107.00000	1537.76607	1524.80859
2025-09-12T14:25:28Z	107.00000	1537.76604	1524.80880
2025-09-12T14:25:29Z	107.00000	1537.76613	1524.80854
2025-09-12T14:25:29Z	107.00000	1537.76614	1524.80856
2025-09-12T14:25:29Z	108.00000	1537.76601	1524.80866
2025-09-12T14:25:29Z	108.00000	1537.76601	1524.80867
2025-09-12T14:25:29Z	108.00000	1537.76614	1524.80855
2025-09-12T14:25:29Z	108.00000	1537.76616	1524.80855
2025-09-12T14:25:29Z	108.00000	1537.76601	1524.80864
2025-09-12T14:25:29Z	108.00000	1537.85877	1525.00380
2025-09-12T14:25:29Z	108.00000	1537.97498	1525.24284
2025-09-12T14:25:29Z	108.00000	1538.07201	1525.42596
2025-09-12T14:25:30Z	108.00000	1538.16147	1525.60019
2025-09-12T14:25:30Z	108.00000	1538.25033	1525.77827
2025-09-12T14:25:30Z	109.00000	1538.34842	1525.97400
2025-09-12T14:25:30Z	109.00000	1538.44690	1526.16586
2025-09-12T14:25:30Z	109.00000	1538.52624	1526.32203
2025-09-12T14:25:30Z	109.00000	1538.60132	1526.46519
2025-09-12T14:25:30Z	109.00000	1538.68812	1526.62582
2025-09-12T14:25:30Z	109.00000	1538.77432	1526.78355
2025-09-12T14:25:30Z	109.00000	1538.91256	1527.03646
2025-09-12T14:25:31Z	109.00000	1539.04334	1527.27132
2025-09-12T14:25:31Z	110.00000	1539.09586	1527.36197
2025-09-12T14:25:31Z	110.00000	1539.15506	1527.46579
2025-09-12T14:25:31Z	110.00000	1539.21430	1527.56636
2025-09-12T14:25:31Z	110.00000	1539.28685	1527.68465
2025-09-12T14:25:31Z	110.00000	1539.34140	1527.77502
2025-09-12T14:25:31Z	110.00000	1539.39140	1527.85877
2025-09-12T14:25:31Z	110.00000	1539.43874	1527.93093
2025-09-12T14:25:31Z	110.00000	1539.46798	1527.97591
2025-09-12T14:25:32Z	110.00000	1539.50504	1528.03150
2025-09-12T14:25:32Z	110.00000	1539.53197	1528.07134
2025-09-12T14:25:32Z	111.00000	1539.55618	1528.10773
2025-09-12T14:25:32Z	111.00000	1539.58021	1528.14304
2025-09-12T14:25:32Z	111.00000	1539.59731	1528.17109
2025-09-12T14:25:32Z	111.00000	1539.61594	1528.19785
2025-09-12T14:25:32Z	111.00000	1539.63117	1528.22519
2025-09-12T14:25:32Z	111.00000	1539.64184	1528.24415
2025-09-12T14:25:32Z	111.00000	1539.65336	1528.26572
2025-09-12T14:25:32Z	111.00000	1539.66285	1528.28242
2025-09-12T14:25:33Z	111.00000	1539.67215	1528.29952
2025-09-12T14:25:33Z	111.00000	1539.67860	1528.31182
2025-09-12T14:25:33Z	112.00000	1539.68441	1528.32221
2025-09-12T14:25:33Z	112.00000	1539.69021	1528.33371
2025-09-12T14:25:33Z	112.00000	1539.64899	1528.31127
2025-09-12T14:25:33Z	112.00000	1538.39753	1526.02844
2025-09-12T14:25:33Z	112.00000	1538.29033	1525.80895
2025-09-12T14:25:33Z	112.00000	1538.18414	1525.61038
2025-09-12T14:25:33Z	112.00000	1538.08928	1525.43822
2025-09-12T14:25:33Z	112.00000	1537.99141	1525.25442
2025-09-12T14:25:34Z	112.00000	1537.90215	1525.06673
2025-09-12T14:25:34Z	112.00000	1537.84202	1524.94048
2025-09-12T14:25:34Z	113.00000	1537.81236	1524.88129
2025-09-12T14:25:34Z	113.00000	1537.80905	1524.87567
2025-09-12T14:25:34Z	113.00000	1537.80546	1524.87419
2025-09-12T14:25:34Z	113.00000	1537.80385	1524.87185
2025-09-12T14:25:34Z	113.00000	1537.80248	1524.86895
2025-09-12T14:25:34Z	113.00000	1537.80108	1524.86460
2025-09-12T14:25:34Z	113.00000	1537.80036	1524.86103
2025-09-12T14:25:34Z	113.00000	1537.79925	1524.85910
2025-09-12T14:25:35Z	113.00000	1537.79767	1524.85844
2025-09-12T14:25:35Z	113.00000	1537.79654	1524.85803
2025-09-12T14:25:35Z	114.00000	1537.79558	1524.85729
2025-09-12T14:25:35Z	114.00000	1537.79478	1524.85544
2025-09-12T14:25:35Z	114.00000	1537.79414	1524.85315
2025-09-12T14:25:35Z	114.00000	1537.79341	1524.85106
2025-09-12T14:25:35Z	114.00000	1537.79274	1524.85032
2025-09-12T14:25:35Z	114.00000	1537.79201	1524.85031
2025-09-12T14:25:35Z	114.00000	1537.79126	1524.84986
2025-09-12T14:25:35Z	114.00000	1537.79067	1524.84901
2025-09-12T14:25:36Z	114.00000	1537.79043	1524.84786
2025-09-12T14:25:36Z	114.00000	1537.79005	1524.84648
2025-09-12T14:25:36Z	115.00000	1537.78955	1524.84504
2025-09-12T14:25:36Z	115.00000	1537.78894	1524.84476
2025-09-12T14:25:36Z	115.00000	1537.78851	1524.84486
2025-09-12T14:25:36Z	115.00000	1537.78780	1524.84446
2025-09-12T14:25:36Z	115.00000	1537.78740	1524.84362
2025-09-12T14:25:36Z	115.00000	1537.78721	1524.84292
2025-09-12T14:25:36Z	115.00000	1537.78694	1524.84215
2025-09-12T14:25:36Z	115.00000	1537.78665	1524.84153
2025-09-12T14:25:37Z	115.00000	1537.78611	1524.84084
2025-09-12T14:25:37Z	115.00000	1537.78591	1524.84060
2025-09-12T14:25:37Z	116.00000	1537.78571	1524.84041
2025-09-12T14:25:37Z	116.00000	1537.78526	1524.83968
2025-09-12T14:25:37Z	116.00000	1537.78498	1524.83898
2025-09-12T14:25:37Z	116.00000	1537.78467	1524.83867
2025-09-12T14:25:37Z	116.00000	1537.78441	1524.83826
2025-09-12T14:25:37Z	116.00000	1537.78414	1524.83787
2025-09-12T14:25:37Z	116.00000	1537.78352	1524.83779
2025-09-12T14:25:38Z	116.00000	1537.78343	1524.83731
2025-09-12T14:25:38Z	116.00000	1537.78322	1524.83697
2025-09-12T14:25:38Z	116.00000	1537.78303	1524.83631
2025-09-12T14:25:38Z	117.00000	1537.78287	1524.83583
2025-09-12T14:25:38Z	117.00000	1537.78279	1524.83572
2025-09-12T14:25:38Z	117.00000	1537.78262	1524.83545
2025-09-12T14:25:38Z	117.00000	1537.78233	1524.83505
2025-09-12T14:25:38Z	117.00000	1537.82332	1524.91794
2025-09-12T14:25:38Z	117.00000	1537.92590	1525.12793
2025-09-12T14:25:38Z	117.00000	1538.02499	1525.31603
2025-09-12T14:25:38Z	117.00000	1538.12390	1525.49971
2025-09-12T14:25:39Z	117.00000	1538.23453	1525.70262
2025-09-12T14:25:39Z	117.00000	1538.33656	1525.89841
2025-09-12T14:25:39Z	118.00000	1538.43647	1526.08568
2025-09-12T14:25:39Z	118.00000	1538.50609	1526.21316
2025-09-12T14:25:39Z	118.00000	1538.58556	1526.36507
2025-09-12T14:25:39Z	118.00000	1538.66222	1526.50756
2025-09-12T14:25:39Z	118.00000	1538.75246	1526.66808
2025-09-12T14:25:39Z	118.00000	1538.82615	1526.80240
2025-09-12T14:25:39Z	118.00000	1538.89796	1526.92847
2025-09-12T14:25:39Z	118.00000	1538.96876	1527.05253
2025-09-12T14:25:40Z	118.00000	1539.04987	1527.19385
2025-09-12T14:25:40Z	118.00000	1539.12751	1527.32777
2025-09-12T14:25:40Z	119.00000	1539.18965	1527.43328
2025-09-12T14:25:40Z	119.00000	1539.25301	1527.53270
2025-09-12T14:25:40Z	119.00000	1539.31497	1527.63059
2025-09-12T14:25:40Z	119.00000	1539.37217	1527.71937
2025-09-12T14:25:40Z	119.00000	1539.42837	1527.80641
2025-09-12T14:25:40Z	119.00000	1539.46898	1527.86688
2025-09-12T14:25:40Z	119.00000	1539.50624	1527.92142
2025-09-12T14:25:40Z	119.00000	1539.54658	1527.98365
2025-09-12T14:25:41Z	119.00000	1539.58887	1528.05334
2025-09-12T14:25:41Z	119.00000	1539.61946	1528.10145
2025-09-12T14:25:41Z	120.00000	1539.63951	1528.13542
2025-09-12T14:25:41Z	120.00000	1539.65984	1528.17060
2025-09-12T14:25:41Z	120.00000	1539.68071	1528.20588
2025-09-12T14:25:41Z	120.00000	1539.69541	1528.23068
2025-09-12T14:25:41Z	120.00000	1539.70600	1528.24873
2025-09-12T14:25:41Z	120.00000	1539.71836	1528.26831
2025-09-12T14:25:41Z	120.00000	1539.72769	1528.28354
2025-09-12T14:25:41Z	120.00000	1539.73309	1528.29266
2025-09-12T14:25:42Z	120.00000	1539.73976	1528.30454
2025-09-12T14:25:42Z	120.00000	1539.74605	1528.31494
2025-09-12T14:25:42Z	121.00000	1539.75120	1528.32397
2025-09-12T14:25:42Z	121.00000	1539.75472	1528.32936
2025-09-12T14:25:42Z	121.00000	1538.73916	1526.60284
2025-09-12T14:25:42Z	121.00000	1538.39521	1525.96538
2025-09-12T14:25:42Z	121.00000	1538.26336	1525.72532
2025-09-12T14:25:42Z	121.00000	1538.16029	1525.53891
2025-09-12T14:25:42Z	121.00000	1538.07122	1525.37901
2025-09-12T14:25:42Z	121.00000	1537.98771	1525.22102
2025-09-12T14:25:43Z	121.00000	1537.90809	1525.06374
2025-09-12T14:25:43Z	121.00000	1537.82441	1524.89826
2025-09-12T14:25:43Z	122.00000	1537.82055	1524.89273
2025-09-12T14:25:43Z	122.00000	1537.81721	1524.88854
2025-09-12T14:25:43Z	122.00000	1537.81411	1524.88613
2025-09-12T14:25:43Z	122.00000	1537.81259	1524.88310
2025-09-12T14:25:43Z	122.00000	1537.81121	1524.87954
2025-09-12T14:25:43Z	122.00000	1537.80997	1524.87510
2025-09-12T14:25:43Z	122.00000	1537.80858	1524.87251
2025-09-12T14:25:43Z	122.00000	1537.80744	1524.87110
2025-09-12T14:25:44Z	122.00000	1537.80606	1524.87037
2025-09-12T14:25:44Z	122.00000	1537.80504	1524.86985
2025-09-12T14:25:44Z	123.00000	1537.80395	1524.86782
2025-09-12T14:25:44Z	123.00000	1537.80319	1524.86587
2025-09-12T14:25:44Z	123.00000	1537.80255	1524.86380
2025-09-12T14:25:44Z	123.00000	1537.80154	1524.86265
2025-09-12T14:25:44Z	123.00000	1537.80074	1524.86199
2025-09-12T14:25:44Z	123.00000	1537.79987	1524.86147
2025-09-12T14:25:44Z	123.00000	1537.79926	1524.86066
2025-09-12T14:25:44Z	123.00000	1537.79836	1524.85969
2025-09-12T14:25:45Z	123.00000	1537.79785	1524.85798
2025-09-12T14:25:45Z	123.00000	1537.79755	1524.85658
2025-09-12T14:25:45Z	124.00000	1537.79700	1524.85568
2025-09-12T14:25:45Z	124.00000	1537.79655	1524.85547
2025-09-12T14:25:45Z	124.00000	1537.79576	1524.85559
2025-09-12T14:25:45Z	124.00000	1537.79523	1524.85492
2025-09-12T14:25:45Z	124.00000	1537.79482	1524.85364
2025-09-12T14:25:45Z	124.00000	1537.79444	1524.85273
2025-09-12T14:25:45Z	124.00000	1537.79417	1524.85187
2025-09-12T14:25:45Z	124.00000	1537.79362	1524.85138
2025-09-12T14:25:46Z	124.00000	1537.79323	1524.85115
2025-09-12T14:25:46Z	124.00000	1537.79271	1524.85092
